start_time,order_map,speed,timestamp,timestamp_0,timestamp_1,year,month,date,assess_time,timestamp_2,id,timestamp_3,consent,timestamp_4,additional_comments,end_time,timestamp_5,classe_1,classe_2,classe_3,Grade,multigrade,timestamp_5,age,Gender,timestamp_6,letter_auto_stop,letter_time_remain,letter_attempted,letter_item_at_time,letter_time_intermediate_captured,letter1,letter2,letter3,letter4,letter5,letter6,letter7,letter8,letter9,letter10,letter11,letter12,letter13,letter14,letter15,letter16,letter17,letter18,letter19,letter20,letter21,letter22,letter23,letter24,letter25,letter26,letter27,letter28,letter29,letter30,letter31,letter32,letter33,letter34,letter35,letter36,letter37,letter38,letter39,letter40,letter41,letter42,letter43,letter44,letter45,letter46,letter47,letter48,letter49,letter50,timestamp_7,familiar_word_auto_stop,familiar_word_time_remain,familiar_word_F_attempted,familiar_word_item_at_time,familiar_word_time_intermediate_captured,familiar_word_1,familiar_word_2,familiar_word_3,familiar_word_4,familiar_word_5,familiar_word_6,familiar_word_7,familiar_word_8,familiar_word_9,familiar_word_10,familiar_word_11,familiar_word_12,familiar_word_13,familiar_word_14,familiar_word_15,familiar_word_16,familiar_word_17,familiar_word_18,familiar_word_19,familiar_word_20,familiar_word_21,familiar_word_22,familiar_word_23,familiar_word_24,familiar_word_25,familiar_word_26,familiar_word_27,familiar_word_28,familiar_word_29,familiar_word_30,familiar_word_31,familiar_word_32,familiar_word_33,familiar_word_34,familiar_word_35,familiar_word_36,familiar_word_37,familiar_word_38,familiar_word_39,familiar_word_40,familiar_word_41,familiar_word_42,familiar_word_43,familiar_word_44,familiar_word_45,familiar_word_46,familiar_word_47,familiar_word_48,familiar_word_49,familiar_word_50,timestamp_8,invented_word_auto_stop,invented_word_time_remain,invented_word_attempted,invented_word_F_item_at_time,invented_word_F_time_intermediate_captured,invented_word_1,invented_word_2,invented_word_3,invented_word_4,invented_word_5,invented_word_6,invented_word_7,invented_word_8,invented_word_9,invented_word_10,invented_word_11,invented_word_12,invented_word_13,invented_word_14,invented_word_15,invented_word_16,invented_word_17,invented_word_18,invented_word_19,invented_word_20,invented_word_21,invented_word_22,invented_word_23,invented_word_24,invented_word_25,invented_word_26,invented_word_27,invented_word_28,invented_word_29,invented_word_30,invented_word_31,invented_word_32,invented_word_33,invented_word_34,invented_word_35,invented_word_36,invented_word_37,invented_word_38,invented_word_39,invented_word_40,invented_word_41,invented_word_42,invented_word_43,invented_word_44,invented_word_45,invented_word_46,invented_word_47,invented_word_48,invented_word_49,invented_word_50,timestamp_9,reading_passage_auto_stop,reading_passage_time_remain,reading_passage_attempted,reading_passage_item_at_time,reading_passage_time_intermediate_captured,reading_passage_1,reading_passage_2,reading_passage_3,reading_passage_4,reading_passage_5,reading_passage_6,reading_passage_7,reading_passage_8,reading_passage_9,reading_passage_10,reading_passage_11,reading_passage_12,reading_passage_13,reading_passage_14,reading_passage_15,reading_passage_16,reading_passage_17,reading_passage_18,reading_passage_19,reading_passage_20,reading_passage_21,reading_passage_22,reading_passage_23,reading_passage_24,reading_passage_25,reading_passage_26,reading_passage_27,reading_passage_28,reading_passage_29,reading_passage_30,reading_passage_31,reading_passage_32,reading_passage_33,reading_passage_34,reading_passage_35,reading_passage_36,reading_passage_37,reading_passage_38,reading_passage_39,reading_passage_40,reading_passage_41,reading_passage_42,reading_passage_43,reading_passage_44,reading_passage_45,reading_passage_46,reading_passage_47,reading_passage_48,reading_passage_49,reading_passage_50,reading_passage_51,reading_passage_52,reading_passage_53,reading_passage_54,reading_passage_55,reading_passage_56,reading_passage_57,reading_passage_58,reading_passage_59,reading_passage_60,reading_passage_61,reading_passage_62,timestamp_10,reading_comp_1,reading_comp2,reading_comp3,reading_comp4,reading_comp5,timestamp_11,Pupil_context_1_0,Pupil_context_1_1,Pupil_context_1_2,Pupil_context_1_3,Pupil_context_2,Pupil_context_3,Pupil_context_4,Pupil_context_5,Pupil_context_6_0,Pupil_context_6_1,Pupil_context_6_2,Pupil_context_6_3,Pupil_context_6_4,Pupil_context_6_5,Pupil_context_7_0,Pupil_context_7_1,Pupil_context_7_2,Pupil_context_7_3,Pupil_context_7_4,Pupil_context_7_5,Pupil_context_8,Pupil_context_9_0,Pupil_context_9_1,Pupil_context_9_2,Pupil_context_9_3,Pupil_context_9_4,Pupil_context_9_5,timestamp_17,timestamp_18,timestamp_16,timestamp_17,timestamp_11,timestamp_12,timestamp_13,timestamp_14,timestamp_15
1.46E+12,no_record,,,1.46E+12,1.46E+12,2016,5,24,10:53,1.46E+12,KXSAFS,1.46E+12,yes,1.46E+12,,1.46E+12,,1,0,0,1,0,1.46E+12,10,0,1.46E+12,FALSE,0,39,,,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,37,,,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,35,,,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,18,,,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,1,0,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,11:15,1.46E+12,KMEEEG,1.46E+12,yes,1.46E+12,,1.46E+12,,1,0,0,1,0,1.46E+12,9,0,1.46E+12,FALSE,0,37,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,34,,,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,34,,,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,11,,,1,0,1,1,1,0,0,0,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,1,0,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,11:34,1.46E+12,EZAHVC,1.46E+12,yes,1.46E+12,,1.46E+12,,1,0,0,1,0,1.46E+12,9,0,1.46E+12,FALSE,0,41,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,29,,,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,32,,,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,13,,,1,0,1,1,1,0,0,0,1,1,1,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,1,0,0,3,3,1.46E+12,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,11:55,1.46E+12,NXMUAY,1.46E+12,yes,1.46E+12,,1.46E+12,,1,0,0,1,0,1.46E+12,9,1,1.46E+12,FALSE,15,50,,,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.46E+12,TRUE,92,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,98,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,13,5,,,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,3,3,3,3,3,1.46E+12,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,12:09,1.46E+12,NEPPMH,1.46E+12,yes,1.46E+12,,1.46E+12,,0,1,0,2,0,1.46E+12,9,0,1.46E+12,FALSE,0,24,,,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,14,,,0,1,0,0,1,1,1,0,1,1,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,94,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,1,,,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,3,3,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,12:24,1.46E+12,TUKVCM,1.46E+12,yes,1.46E+12,,1.46E+12,,0,1,0,2,0,1.46E+12,10,0,1.46E+12,FALSE,55,50,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.46E+12,FALSE,0,25,,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,96,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,4,,,1,0,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,0,3,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,16:03,1.46E+12,SFAEFB,1.46E+12,yes,1.46E+12,,1.46E+12,,0,1,0,2,0,1.46E+12,10,1,1.46E+12,FALSE,19,50,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.46E+12,FALSE,0,25,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,23,,,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,14,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,1,1,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,24,16:25,1.46E+12,CAHAXT,1.46E+12,yes,1.46E+12,,1.46E+12,,1,0,0,1,0,1.46E+12,7,0,1.46E+12,FALSE,0,22,,,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,87,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,89,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,26,5,,,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,3,3,3,3,3,1.46E+12,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,,,1.46E+12,1.46E+12,2016,5,25,09:32,1.46E+12,QFYFXT,1.46E+12,yes,1.46E+12,,1.46E+12,,0,1,0,2,0,1.46E+12,10,1,1.46E+12,FALSE,0,48,,,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,.,.,1.46E+12,TRUE,110,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,98,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,TRUE,25,5,,,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,0,3,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.46E+12,1.46E+12,,,,,,,
1.46E+12,no_record,0,1.46E+12,1.46E+12,1.46E+12,2016,5,25,09:44,1.46E+12,PVNACM,1.46E+12,yes,1.46E+12,,1.46E+12,,0,1,0,2,0,1.46E+12,10,0,1.46E+12,FALSE,0,25,,,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,12,,,1,1,0,1,1,1,1,0,1,1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,13,,,0,1,0,0,0,1,1,1,1,1,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,FALSE,0,6,,,1,0,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.46E+12,1,3,3,3,3,1.46E+12,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1.46E+12,1.46E+12,,,,,,,
